id_dem_answer,id_website,id_dem_question,id_person,dem_answer
110042,1448,27255,119200,Urban
110043,1448,27255,119202,Rural
110044,1448,27255,119207,"Not Given"
110046,1448,27255,119209,"Not Given"
110047,1448,27255,119219,"Not Given"
110048,1448,27255,119222,"Not Given"
110049,1448,27255,119247,"Not Given"
110050,1448,27255,119250,Urban
110051,1448,27255,119314,"Not Given"
110052,1448,27255,119315,Suburban
110053,1448,27255,119316,"Not Given"
110054,1448,27255,119317,Urban
110055,1448,27255,119331,Suburban
110056,1448,27255,119355,Urban
110057,1448,27255,119380,Urban
110062,1448,27255,119417,Urban
110063,1448,27255,119420,Urban
110130,1448,27255,119479,Suburban
